location_names,first_trip_month,last_trip_month,lat,lon,still_active,region
Downtown Berkeley BART,2017,2026-07,37.87,-122.268,True,East Bay
Bancroft Way at Telegraph Ave,2017,2026-07,37.869,-122.259,True,East Bay
Fulton St at Bancroft Way,2017,2026-07,37.868,-122.266,True,East Bay
Addison St at Fourth St,2017,2026-07,37.866,-122.299,True,East Bay
California St at University Ave,2017,2024-04,37.871,-122.28,False,East Bay
Frank H Ogawa Plaza,2017,2026-07,37.805,-122.272,True,East Bay
14th St at Mandela Pkwy,2017,2026-07,37.811,-122.291,True,East Bay
19th Street BART Station; 19th Street BART,2017,2026-07,37.809,-122.268,True,East Bay
Bay Pl at Vernon St,2017,2026-07,37.812,-122.261,True,East Bay
Russell St at College Ave,2017,2026-07,37.858,-122.253,True,East Bay
College Ave at Taft Ave,2017,2026-07,37.842,-122.252,True,East Bay
24th St at Market St; Market St at 24th St,2017,2026-07,37.816,-122.278,True,East Bay
Washington St at 8th St,2017,2026-07,37.801,-122.275,True,East Bay
Lake Merritt BART Station; Lake Merritt BART,2017,2026-07,37.797,-122.265,True,East Bay
Lakeshore Ave at Trestle Glen Rd,2017,2026-07,37.811,-122.243,True,East Bay
West Oakland BART Station; West Oakland BART,2017,2026-07,37.805,-122.295,True,East Bay
MLK Jr Way at 14th St,2017,2024-03,37.806,-122.276,False,East Bay
2nd Ave at E 18th St,2017,2026-07,37.8,-122.254,True,East Bay
El Embarcadero at Grand Ave,2017,2026-07,37.809,-122.25,True,East Bay
College Ave at Harwood Ave,2017,2021-04,37.848,-122.252,False,East Bay
Shattuck Ave at Hearst Ave,2017,2026-07,37.874,-122.268,True,East Bay
Derby St at College Ave,2017,2026-07,37.862,-122.254,True,East Bay
45th St at Manila,2017,2026-07,37.833,-122.256,True,East Bay
Snow Park,2017,2026-07,37.808,-122.264,True,East Bay
Telegraph Ave at 23rd St; 23rd St at Telegraph Ave,2017,2026-07,37.813,-122.269,True,East Bay
University Ave at Oxford St,2017,2025-10,37.872,-122.266,False,East Bay
Grand Ave at Perkins St,2017,2026-07,37.809,-122.256,True,East Bay
21st Ave at International Blvd,2017,2019-12,37.785,-122.239,False,East Bay
Lakeside Dr at 14th St,2017,2026-07,37.801,-122.263,True,East Bay
Telegraph Ave at 19th St,2017,2026-07,37.809,-122.27,True,East Bay
MacArthur BART Station,2017,2024-05,37.828,-122.266,False,East Bay
Telegraph Ave at Ashby Ave,2017,2026-07,37.856,-122.26,True,East Bay
Ashby BART Station; Ashby BART,2017,2026-07,37.852,-122.27,True,East Bay
